Group;Participant;CollabEnvironememn;trialNb;training;MoveMode;wall;CardToTag;
g04;p01;C;57;1;TP;search;L;9;
g04;p02;C;57;1;TP;move;L;9;
g04;p01;C;58;0;TP;move;B;36;
g04;p02;C;58;0;TP;search;B;36;
g04;p01;C;59;0;TP;search;B;30;
g04;p02;C;59;0;TP;move;B;30;
g04;p01;C;60;0;TP;move;R;53;
g04;p02;C;60;0;TP;search;R;53;
g04;p01;C;61;0;TP;search;R;57;
g04;p02;C;61;0;TP;move;R;57;
g04;p01;C;62;0;TP;move;L;13;
g04;p02;C;62;0;TP;search;L;13;
g04;p01;C;63;0;TP;search;L;7;
g04;p02;C;63;0;TP;move;L;7;
g04;p01;C;64;0;TP;move;B;33;
g04;p02;C;64;0;TP;search;B;33;
g04;p01;C;65;0;TP;search;B;28;
g04;p02;C;65;0;TP;move;B;28;
g04;p01;C;66;0;TP;move;R;48;
g04;p02;C;66;0;TP;search;R;48;
g04;p01;C;67;0;TP;search;R;52;
g04;p02;C;67;0;TP;move;R;52;
g04;p01;C;68;0;TP;search;R;57;
g04;p02;C;68;0;TP;move;R;57;
g04;p01;C;69;0;TP;move;R;53;
g04;p02;C;69;0;TP;search;R;53;
g04;p01;C;70;0;TP;search;B;30;
g04;p02;C;70;0;TP;move;B;30;
g04;p01;C;71;0;TP;move;B;36;
g04;p02;C;71;0;TP;search;B;36;
g04;p01;C;72;0;TP;search;L;9;
g04;p02;C;72;0;TP;move;L;9;
g04;p01;C;73;0;TP;move;L;12;
g04;p02;C;73;0;TP;search;L;12;
g04;p01;C;74;0;TP;search;R;50;
g04;p02;C;74;0;TP;move;R;50;
g04;p01;C;75;0;TP;move;R;45;
g04;p02;C;75;0;TP;search;R;45;
g04;p01;C;76;0;TP;search;B;38;
g04;p02;C;76;0;TP;move;B;38;
g04;p01;C;77;0;TP;move;B;23;
g04;p02;C;77;0;TP;search;B;23;
#pause;
g05;p01;C;0;1;TP;move;B;22;
g05;p02;C;0;1;TP;search;B;22;
